sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.5	GCA_003102695	562	5	3558	9	43.6083	468	43	1.5003	236958	5	3861	1.62940267895576	47.3219757323201	236958	5	3861	1.62940267895576	15.4554815621334	82.9151157589109
rand.86	GCA_003112285	30	1	5080	1	99.6078	523	47	26.2411	19439	4	9875	50.7999382684294	100	19439	4	9875	50.7999382684294	3.55985390194969	45.6402078296209
rand.92	GCA_003112285	687	2	5080	3	99.6078	520	47	1.9118	295421	3	9500	3.21574972666127	100	295421	3	9500	3.21574972666127	5.08731606757813	91.6969342057606
rand.17	GCA_003112285	1938	3	3317	6	65.0392	359	25	0.3852	870385	5	4995	0.573883970886447	97.9411764705882	870069	5	4995	0.57409239956831	8.31600712127429	91.1099004791574
rand.3	GCA_003100495	65	6	6308	12	83.2080	702	48	16.6306	39331	6	7573	19.2545320485114	99.8944730246669	39331	6	7573	19.2545320485114	37.2962802878137	43.449187663675
rand.96	GCA_003112285	299	3	1528	6	29.9608	169	15	0.9885	154277	4	1931	1.25164476882491	37.8627450980392	153439	4	1931	1.2584805688254	73.2453939350491	25.4961254961255
rand.99	GCA_003101195	208	2	8730	6	100.0000	868	61	10.4035	88307	2	9793	11.0897210866636	100	88307	2	9793	11.0897210866636	4.672336281382	84.2379426319544
rand.71	GCA_003102955	493	16	9176	32	100.0000	1038	120	6.9612	214962	17	15924	7.40782091718536	100	214624	17	15924	7.41948710302669	16.6374683166841	75.9430445802893
rand.31	GCA_003112285	185	1	1023	2	20.0588	109	2	1.3557	75459	1	1024	1.35702832001484	20.078431372549	75459	1	1024	1.35702832001484	9.22885275447594	89.4141189255092
rand.76	GCA_003112285	679	2	5036	4	98.7451	637	34	1.7216	291936	2	8397	2.87631535679053	100	291936	2	8397	2.87631535679053	4.93395812780884	92.1897265154006
rand.54	GCA_003097815	1804	12	8765	26	90.4541	514	104	2.1486	818897	12	17766	2.16950361278647	100	818897	12	17766	2.16950361278647	5.80231701911229	92.0281793681012
rand.70	GCA_003100495	288	2	770	4	10.1570	96	4	0.5977	128835	2	807	0.626382582372802	10.6450336367234	128835	2	807	0.626382582372802	27.966779213723	71.4068382039042
rand.77	GCA_003188985	358	2	782	4	9.4708	106	15	0.5360	146467	2	791	0.540053390866202	9.57975051471479	146467	2	791	0.540053390866202	20.9111950132112	78.5487515959226
rand.84	GCA_003097815	1633	3	9637	11	99.4530	734	99	1.3990	768269	3	11374	1.48047103293248	100	767879	3	11374	1.48122295309547	4.08645112055415	94.4323259263504
rand.58	GCA_003101195	2104	7	8730	14	100.0000	866	139	1.3533	937537	7	13118	1.39919811164786	100	937537	7	13118	1.39919811164786	7.85739656141571	90.7434053269364
